point	12:00	14:00	iso+ant 15:0	15:00	16:1n-7	16:00	16:3n-4	16:2n-4	16:3n-3	16:4n-1	17:00	iso+ant 17:0	18:1n-9	18:1n-7	18:2n-6 	18:00	18:4n-3	18:3n-3	20:4n-6	20:1n-9	20:00	20:5n-3 	20:4n-3	22:5n-6	22:1n-9	22:00	22:6n-3	22:5n-3	23:1n-1	24:1n-9	24:00:00	S_acus	S_ulna	A _baicalensis	A_islandica	D_cylindricum	B_lauterbornii	P_sp
p_1	0	8.78	1.95	1.89	16.12	12.56	7.42	4.87	0	0	1.53	5.49	1.55	1.58	1.1	7.3	1.74	1.67	0.49	0.94	0.13	14.09	0.41	0.23	2.9	0.32	4.69	0.24	0	0	0	59.13	6.34	31.68	2.85	0	No	No
p_2	0	9.35	0	1.25	17.83	16	1.3	2.52	0	0	0.94	1.91	2.71	2.08	1.62	10.6	3.01	3.42	0.61	2.39	0.12	9.42	0.82	0.38	2.19	0.38	7.5	0.25	0	1.06	0.29	0.26	0	97.4	1.19	1.15	No	No
p_3	0	7.87	1.61	1.29	8.13	15.81	2.04	2.39	0.61	0.56	0.81	0.4	4.74	2.39	1.65	6.22	5.38	7.01	1.17	1.44	0.37	12.05	0.6	0.97	0.96	0.24	11.37	0.36	0.49	0.95	0.13	0	0	91.1	0	8.9	No	No
p_4	0	8.13	1.15	1.49	12.52	13.9	11.82	5.09	0	0	1	0.36	0.58	1.09	0.47	16.22	0.36	0.43	0.29	0.5	0.21	17.43	0.2	0.05	2.99	0.17	3.28	0.1	0	0.15	0.03	85.65	12.82	0	1.53	0	No	No
p_5	0	9.48	1.5	1.82	13.16	13.34	10	4.44	0	0	1.42	2.32	0.85	1.54	1.21	12.39	1.06	0.73	0.43	0.76	0.17	15.2	0	0.16	2.61	0.29	4.81	0.29	0	0	0	69.58	15.21	15.21	0	0	No	No
p_6	0	9.83	1.49	1.76	14.92	13.63	6.91	4.23	0	0	1.68	3.03	1.43	1.42	1.42	11.48	1.91	1.71	0.47	0.75	0.16	13.14	0	0.27	2.69	0.27	5.09	0.32	0	0	0	78	0	13.1	8.9	0	No	No
p_7	0	9.15	1.09	1.82	12.1	13.97	11.97	4	0	0	1.43	2.14	0.56	1.34	0.93	14.71	0.55	0.26	0.4	0	0.12	16.34	0	0.05	2.89	0.23	3.73	0.21	0	0	0	68.1	17.18	14.72	0	0	No	No
p_8	0	8.52	1.4	1.53	11.95	10.7	13.52	5.5	0	0	1.32	2.8	0.51	1.61	0.76	8.5	1.03	0.71	0.33	0.46	0.16	20.07	0.25	0.12	1.82	0.22	5.97	0.26	0	0	0	79.37	20.2	0	0	0.43	No	No
p_9	0.21	8.1	1.27	1.61	11.81	12.85	10.92	4.78	0	0	2	2.97	0.54	1.1	1.96	12.98	0.45	0.19	0.34	0.46	0.22	15.93	0	0.09	2.35	0.21	3.59	0.22	0	0.83	2.04	94.11	4.58	0	0.65	0.65	No	No
p_10	0	7.9	1.25	1.85	10.86	13.26	11.71	4.82	0	0	2.15	3.38	0.42	0.91	0.9	14.75	0.45	0.15	0.24	0.74	0.25	15.69	0.29	0.06	3.62	0.22	0.97	3.16	0	0	0	75	25	0	0	0	No	No
p_11	0	9.93	1.67	2.08	12.06	13.9	9.42	4.51	0	0	2.43	5.22	0.55	0.97	0.06	15.93	0.35	0.62	0.16	2.54	0.27	10.39	0.31	0.08	3.45	0.4	2.22	0.12	0	0.24	0.13	83.1	9.86	7.04	0	0	No	No
p_12	0	8.95	1.32	1.2	9.66	14.3	3.75	2.67	0.54	0.57	0.7	1.1	6.28	1.83	1.54	6.1	4.49	4.47	0.79	0.97	0.23	12.34	0.43	0.46	1.12	0.23	12.61	0.31	0.19	0.75	0.12	28.6	6.07	64.95	0	0.37	No	No
p_13	0	10	1.37	1.86	14.97	13.69	11.16	5.19	0	0	1.55	3.79	0.83	1.23	5.86	7.39	0.62	0.31	0.26	1.3	0.07	12.84	0.25	0	2.49	0.19	2.71	0.07	0	0	0	91.64	4.5	1.93	0	1.93	No	No
p_14	0	10.29	1.64	1.95	15.73	14.36	8.69	5.46	0	0	1.81	3.52	0.67	1.13	0.85	13.22	0.59	0.25	0.16	3.09	0.1	10.06	0.34	0.08	3.06	0.24	2.56	0.15	0	0	0	81.03	6.15	12.82	0	0	No	No
p_15	0	9.31	2.05	0.67	11.11	13.23	3.24	2.74	0.17	2.06	0.48	2.17	1.12	2.44	1.12	5.74	8.77	3.66	0.61	0.51	0.46	14.81	0.54	0.63	0.71	0.61	9.02	0.49	0.1	0.91	0.55	0	0	0	0	0	Yes	No
p_16	0	8.09	1.32	1.55	9.75	15.6	8.14	4.23	0.62	0.21	1.95	2.29	0.67	1.03	1.66	17.44	1.31	0.52	0.28	0.77	0.27	13.51	0.3	0.1	3.3	1.01	3.9	0.19	0	0	0	58.47	27.65	13.88	0	0	No	No
p_17	0	9.2	1.01	1.37	14.71	12.52	13.5	5.96	0	0	1.59	2.31	0.47	1.12	0.61	11.76	0	0	0.28	1.22	0.2	15.07	0.07	2.42	0.26	0.85	2.91	0.15	0	0.28	0.14	86.7	7.03	6.28	0	0	No	No
p_18	0.15	9.33	1.15	0.85	3.48	23.29	0.57	1.04	0	0	0.85	1.12	18.85	1.65	1.75	11	1.05	1.09	0.32	0.34	0.34	1.99	0.07	0.4	2.48	0.92	14.59	0.19	0	0.88	0.26	0	0	0	0	0	No	Yes
