lipid	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10	p_11	p_12	p_13	p_14	p_15	p_16	p_17	p_18
12:00	0	0	0	0	0	0	0	0	0.21	0	0	0	0	0	0	0	0	0.15
14:00	8.78	9.35	7.87	8.13	9.48	9.83	9.15	8.52	8.1	7.9	9.93	8.95	10	10.29	9.31	8.09	9.2	9.33
iso+ant 15:0	1.95	0	1.61	1.15	1.5	1.49	1.09	1.4	1.27	1.25	1.67	1.32	1.37	1.64	2.05	1.32	1.01	1.15
15:00	1.89	1.25	1.29	1.49	1.82	1.76	1.82	1.53	1.61	1.85	2.08	1.2	1.86	1.95	0.67	1.55	1.37	0.85
16:1n-7	16.12	17.83	8.13	12.52	13.16	14.92	12.1	11.95	11.81	10.86	12.06	9.66	14.97	15.73	11.11	9.75	14.71	3.48
16:00	12.56	16	15.81	13.9	13.34	13.63	13.97	10.7	12.85	13.26	13.9	14.3	13.69	14.36	13.23	15.6	12.52	23.29
16:3n-4	7.42	1.3	2.04	11.82	10	6.91	11.97	13.52	10.92	11.71	9.42	3.75	11.16	8.69	3.24	8.14	13.5	0.57
16:2n-4	4.87	2.52	2.39	5.09	4.44	4.23	4	5.5	4.78	4.82	4.51	2.67	5.19	5.46	2.74	4.23	5.96	1.04
16:3n-3	0	0	0.61	0	0	0	0	0	0	0	0	0.54	0	0	0.17	0.62	0	0
16:4n-1	0	0	0.56	0	0	0	0	0	0	0	0	0.57	0	0	2.06	0.21	0	0
17:00	1.53	0.94	0.81	1	1.42	1.68	1.43	1.32	2	2.15	2.43	0.7	1.55	1.81	0.48	1.95	1.59	0.85
iso+ant 17:0	5.49	1.91	0.4	0.36	2.32	3.03	2.14	2.8	2.97	3.38	5.22	1.1	3.79	3.52	2.17	2.29	2.31	1.12
18:1n-9	1.55	2.71	4.74	0.58	0.85	1.43	0.56	0.51	0.54	0.42	0.55	6.28	0.83	0.67	1.12	0.67	0.47	18.85
18:1n-7	1.58	2.08	2.39	1.09	1.54	1.42	1.34	1.61	1.1	0.91	0.97	1.83	1.23	1.13	2.44	1.03	1.12	1.65
18:2n-6 	1.1	1.62	1.65	0.47	1.21	1.42	0.93	0.76	1.96	0.9	0.06	1.54	5.86	0.85	1.12	1.66	0.61	1.75
18:00	7.3	10.6	6.22	16.22	12.39	11.48	14.71	8.5	12.98	14.75	15.93	6.1	7.39	13.22	5.74	17.44	11.76	11
18:4n-3	1.74	3.01	5.38	0.36	1.06	1.91	0.55	1.03	0.45	0.45	0.35	4.49	0.62	0.59	8.77	1.31	0	1.05
18:3n-3	1.67	3.42	7.01	0.43	0.73	1.71	0.26	0.71	0.19	0.15	0.62	4.47	0.31	0.25	3.66	0.52	0	1.09
20:4n-6	0.49	0.61	1.17	0.29	0.43	0.47	0.4	0.33	0.34	0.24	0.16	0.79	0.26	0.16	0.61	0.28	0.28	0.32
20:1n-9	0.94	2.39	1.44	0.5	0.76	0.75	0	0.46	0.46	0.74	2.54	0.97	1.3	3.09	0.51	0.77	1.22	0.34
20:00	0.13	0.12	0.37	0.21	0.17	0.16	0.12	0.16	0.22	0.25	0.27	0.23	0.07	0.1	0.46	0.27	0.2	0.34
20:5n-3 	14.09	9.42	12.05	17.43	15.2	13.14	16.34	20.07	15.93	15.69	10.39	12.34	12.84	10.06	14.81	13.51	15.07	1.99
20:4n-3	0.41	0.82	0.6	0.2	0	0	0	0.25	0	0.29	0.31	0.43	0.25	0.34	0.54	0.3	0.07	0.07
22:5n-6	0.23	0.38	0.97	0.05	0.16	0.27	0.05	0.12	0.09	0.06	0.08	0.46	0	0.08	0.63	0.1	2.42	0.4
22:1n-9	2.9	2.19	0.96	2.99	2.61	2.69	2.89	1.82	2.35	3.62	3.45	1.12	2.49	3.06	0.71	3.3	0.26	2.48
22:00	0.32	0.38	0.24	0.17	0.29	0.27	0.23	0.22	0.21	0.22	0.4	0.23	0.19	0.24	0.61	1.01	0.85	0.92
22:6n-3	4.69	7.5	11.37	3.28	4.81	5.09	3.73	5.97	3.59	0.97	2.22	12.61	2.71	2.56	9.02	3.9	2.91	14.59
22:5n-3	0.24	0.25	0.36	0.1	0.29	0.32	0.21	0.26	0.22	3.16	0.12	0.31	0.07	0.15	0.49	0.19	0.15	0.19
23:1n-1	0	0	0.49	0	0	0	0	0	0	0	0	0.19	0	0	0.1	0	0	0
24:1n-9	0	1.06	0.95	0.15	0	0	0	0	0.83	0	0.24	0.75	0	0	0.91	0	0.28	0.88
24:00:00	0	0.29	0.13	0.03	0	0	0	0	2.04	0	0.13	0.12	0	0	0.55	0	0.14	0.26
